monthYear,Instore,Online,Outlet
2020-01,5280000,143033,5525602
2020-02,6588750,250233,3131293
2020-03,7013750,181349,121259
2020-04,9786250,251204,4461817
2020-05,9032500,226795,4461817
2020-06,8606250,223569,4461817
2020-07,12758750,326500,4461817
2020-08,3923750,94926,4461817
2020-11,5280000,102780,4027729
2020-12,5280000,117064,4461817
2021-01,2300000,3454747,18660281
2021-02,2573750,2974546,10743427
2021-03,2851500,3283899,6204093
2021-04,2795000,3608105,10785614
2021-05,3563250,4503178,15244834
2021-06,5426250,5837664,4712980
2021-07,6420000,6422120,4985756
2021-08,5280000,6369496,4260082
2021-09,3145000,5210276,2950776
2021-10,3471250,3986226,2442733
2021-11,4271750,5183515,3509722
2021-12,5576250,6302376,3737583
